date,symbol,monto_operado,volumen_nominal,cantidad_operaciones,ultimo_precio,precio_compra,precio_venta,spread_abs,spread_pct,moneda,tipo_liquidacion
2026-06-09,GN47O,4841596.2,3344.0,0,145000.0,0.0,0.0,,,ARS,2
2026-06-09,MGCQO,4745685.9,3003.0,0,155040.0,0.0,0.0,,,ARS,1
2026-06-09,MGCNO,4480393.4,2959.0,0,151980.0,0.0,0.0,,,ARS,1
2026-06-09,CAC5O,3789210.0,3985.0,0,95400.0,0.0,97500.0,,,ARS,2
2026-06-09,YMCZO,3649136.5,2415.0,0,150500.0,0.0,0.0,,,ARS,2
2026-06-09,GYC5O,3387235.0,2306.0,0,145840.0,0.0,0.0,,,ARS,2
2026-06-09,GN49O,3129000.0,2000.0,0,156450.0,0.0,0.0,,,ARS,1
2026-06-09,HJCGO,2880000.0,2000.0,0,144000.0,0.0,0.0,,,ARS,2
2026-06-09,OTS5O,2878561.0,1980.0,0,146200.0,0.0,153500.0,,,ARS,2
2026-06-09,OTS6O,2506546.0,1700.0,0,149000.0,0.0,0.0,,,ARS,2
2026-06-09,TLCQO,2339251.0,1571.0,0,148900.0,0.0,0.0,,,ARS,1
2026-06-09,NBS1O,2204700.0,1500.0,0,146980.0,0.0,0.0,,,ARS,1
2026-06-09,AFCIO,2072560.0,1400.0,0,148040.0,0.0,0.0,,,ARS,2
2026-06-09,YM34Z,2001150.48,1917619.0,0,104.356,0.0,0.0,,,EXT,2
2026-06-09,YMCXZ,2000000.26,1850139.0,0,108.1,0.0,0.0,,,EXT,2
2026-06-09,YM34Z,1999999.91,1917619.0,0,104.296,0.0,0.0,,,EXT,1
2026-06-09,TLCOO,1956763.9,1332.0,0,147010.0,0.0,0.0,,,ARS,1
2026-06-09,TTCBO,1643413.0,1102.0,0,148980.0,141000.0,0.0,,,ARS,2
2026-06-09,ARC1O,1547400.0,1000.0,0,154740.0,0.0,0.0,,,ARS,1
2026-06-09,BYCVO,1480000.0,1000.0,0,148000.0,0.0,0.0,,,ARS,2
2026-06-09,TTC8O,1391183.2,947.0,0,146600.0,0.0,0.0,,,ARS,2
2026-06-09,LIC6O,1274138.2,2654.0,0,47950.0,46000.0,0.0,,,ARS,2
2026-06-09,CS48O,1261663.0,827.0,0,154000.0,0.0,0.0,,,ARS,1
2026-06-09,MR39O,1115210.0,1021.0,0,110000.0,0.0,0.0,,,ARS,1
2026-06-09,TLCUD,1043175.15,1010024.0,0,102.75,100.0,103.65,3.65,3.65,USD,2
2026-06-09,GN47O,1010441.4,718.0,0,140730.0,0.0,0.0,,,ARS,1
2026-06-09,MSSEO,879438.1,589.0,0,150990.0,0.0,0.0,,,ARS,2
2026-06-09,CS44O,859312.7,585.0,0,147580.0,0.0,0.0,,,ARS,1
2026-06-09,CS47O,845250.0,575.0,0,147000.0,0.0,0.0,,,ARS,1
2026-06-09,MGCTD,816813.5,812000.0,0,100.9,100.4,101.4,1.0,0.996,USD,2
2026-06-09,CAC5O,811750.0,850.0,0,95500.0,0.0,0.0,,,ARS,1
2026-06-09,TLCPZ,799999.8,737327.0,0,108.5,0.0,0.0,,,EXT,2
2026-06-09,TLCTD,723117.71,661590.0,0,109.3,108.0,110.55,2.55,2.3611,USD,2
2026-06-09,IRCLO,580080.0,400.0,0,145020.0,0.0,0.0,,,ARS,1
2026-06-09,SXC1O,490891.88,472072.0,0,104.0,0.01,110.0,109.99,1099900.0,ARS,2
2026-06-09,PN34O,490438.8,324.0,0,151370.0,0.0,0.0,,,ARS,1
2026-06-09,CICBD,351348.46,344523.0,0,102.0,101.1,104.35,3.25,3.2146,USD,2
