# Tabla maestra de emisores de ONs — ON Radar
# Generado por build_issuer_master.py
# prefijo,cuit_emisor,razon_social,sector,fuente
prefijo,cuit_emisor,razon_social,sector,fuente
GF,30539301388,GARRO FABRIL S.A,,afip_oficial
GHC,30558543317,GRUPO COHEN S.A.,,afip_oficial
GK,30640576428,GUALOK SRL,,afip_oficial
GLS,30715157299,GALERENT S.A.,,afip_oficial
GMC,30682434720,Generación Mediterránea S.A.,Energía - Electricidad,afip_oficial
GMCG,30682434720,GENERACION MEDITERRANEA S.A.,,afip_oficial
GMCJ,30682434720,GENERACION MEDITERRANEA S.A.,,afip_oficial
GN,30665234114,GENNEIA S.A.,,afip_oficial
GN3,30665234114,Genneia S.A.,Energía - Renovable,afip_oficial
GN4,30665234114,Genneia S.A.,Energía - Renovable,afip_oficial
GOC,33715184139,GENERACION LITORAL SA,,afip_oficial
GU,30710685696,TRACE GROUP S.A.,,afip_oficial
GZS,33715043519,GESTION DE PRESTAMOS Y COBRANZAS,,afip_oficial
HA,33657476639,MADERO HARBOUR S.A.,,afip_oficial
HBC,30500011072,BANCO HIPOTECARIO S.A.,,afip_oficial
HBCA,30500011072,BANCO HIPOTECARIO S.A.,,afip_oficial
HBCB,30500011072,BANCO HIPOTECARIO S.A.,,afip_oficial
HC,30711075905,HIDROTEC S.A.,,afip_oficial
HG,30539081086,GASTALDI HNOS. S.A.I. y C.F. e I.,,afip_oficial
HJC,30707024859,John Deere Credit Cía. Financiera S.A.,Financiero - Crédito Industrial,afip_oficial
HJCA,30707024859,JOHN DEERE CREDIT COMPANIA FINANCIERA S.A.,,afip_oficial
HN,30541416540,RATTO HNOS S.AC.F.A.,,afip_oficial
HT,30715857460,HATTRICK ENERGY SAS,,afip_oficial
IC,33711217679,INSUGA CHACO S.A,,afip_oficial
IF,30718592425,INCLUSION FINANCIERA INTEGRAL S.R.L.,,afip_oficial
INS,33688256149,INTERCONNECT S.A.,,afip_oficial
IP,30716855372,PROCESOS INDUSTRIALES METALLO SA,,afip_oficial
IRC,30524688673,IRSA Inversiones y Representaciones S.A.,Real Estate,manual_confirmado
JOS,30590762233,ALBERTO J. OLIVERO E HIJOS S.A.,,afip_oficial
JTS,30714228346,FERRETERA CENTRAL JT S.R.L.,,afip_oficial
KIS,33717152749,MILKYNET S.A.,,afip_oficial
KLS,30574564367,KLONAL SRL,,afip_oficial
KR,30641234601,BISORDI KREMAR SRL,,afip_oficial
LA,30714108235,LATITUD 45 PETROLEO Y GAS SA,,afip_oficial
LEC,30682504125,ALBANESI S.A.,,afip_oficial
LECA,30682504125,ALBANESI S.A.,,afip_oficial
LECD,30682504125,ALBANESI S.A.,,afip_oficial
LECH,30682504125,ALBANESI S.A.,,afip_oficial
LECI,30682504125,ALBANESI S.A.,,afip_oficial
LECJ,30682504125,ALBANESI S.A.,,afip_oficial
LECL,30682504125,ALBANESI S.A.,,afip_oficial
LLS,33714669899,COLLINS S.A.,,afip_oficial
LMS,30718221516,BLM DESARROLLOS SA,,afip_oficial
LN,30516877223,LILIANA SRL,,afip_oficial
LNS,30516877223,LILIANA SRL,,afip_oficial
LR,30501152826,LABORATORIOS RICHMOND S.A.C.I.F.,,afip_oficial
LR6,30501152826,Laboratorios Richmond S.A.C.I.F.,Salud - Farma,afip_oficial
LTS,30710716923,LATAMLY S.A.,,afip_oficial
LVS,30714954071,LOS VALIENTES S.A.,,afip_oficial
ME,30561785402,AUTOTRANSPORTES ANDESMAR S.A.,,afip_oficial
MGC,30526552659,Pampa Energía S.A.,Energía - Electricidad,manual_confirmado
MIC,30578036071,MIRGOR S.A.,,afip_oficial
MR,33711944899,GENER.MEDITE./CENTRAL TERMICA ROCA S.A.,,afip_oficial
MR3,33711944899,Generación Mediterránea / Central Térmica Roca S.A.,Energía - Electricidad,afip_oficial
MR4,33711944899,Generación Mediterránea / Central Térmica Roca S.A.,Energía - Electricidad,afip_oficial
MRC,33711944899,Generación Mediterránea / Central Térmica Roca S.A.,Energía - Electricidad,afip_oficial
MRCH,33711944899,GENER.MEDITE./CENTRAL TERMICA ROCA S.A.,,afip_oficial
MRCK,33711944899,GENER.MEDITE./CENTRAL TERMICA ROCA S.A.,,afip_oficial
MRCR,33711944899,GENER.MEDITE./CENTRAL TERMICA ROCA S.A.,,afip_oficial
MRCT,33711944899,GENER.MEDITE./CENTRAL TERMICA ROCA S.A.,,afip_oficial
MRCW,33711944899,GENER.MEDITE./CENTRAL TERMICA ROCA S.A.,,afip_oficial
MRCX,30500645772,MERANOL S.A.C.I.,,afip_oficial
MRCZ,33711944899,GENER.MEDITE./CENTRAL TERMICA ROCA S.A.,,afip_oficial
MSS,30607597193,MSU S.A.,Energía,manual_confirmado
MTC,30547242331,Mastellone Hermanos S.A.,Alimentos - Lácteos,manual_confirmado
NBS,30710630670,Balanz Capital Valores S.A.,Financiero,manual_confirmado
NDS,30550246771,ANTA DEL DORADO S.A.,,afip_oficial
NHC,30670157799,NUEVO BANCO DEL CHACO S.A.,,afip_oficial
NLCD,30500235566,ANGEL ESTRADA Y CIA. S.A.,,afip_oficial
NLCI,30500235566,ANGEL ESTRADA Y CIA. S.A.,,afip_oficial
NOS,30707418849,MERIDIANO NORTE S.A.,,afip_oficial
NUS,30708132337,NUEVAS TIERRAS S.A.,,afip_oficial
NV,30707012672,NAVARRO S.A.,,afip_oficial
OC,30710855850,CLORONOR S.A.,,afip_oficial
OLC,30658840165,OLEODUCTOS DEL VALLE S.A.,,afip_oficial
OM,30642412899,MAQUINAS AGRICOLAS OMBU S.A,,afip_oficial
ONXA,30710125909,NEXO EMPRENDIMIENTOS S.A.,,afip_oficial
OR,30547794482,AGRONORTE S.R.L.,,afip_oficial
OR2,30547794482,Agronorte S.R.L.,Agro,afip_oficial
OR3,30547794482,Agronorte S.R.L.,Agro,afip_oficial
OV,30713722703,OZOG VIAL S.R.L,,afip_oficial
OZC,30699542454,EMPRESA DISTRIB DE ELECTRICIDAD DE MENDOZA S.A.,,afip_oficial
PB,30619780635,PROMEDON S.A.,,afip_oficial
PDS,30707009892,PROSEIND S.A.,,afip_oficial
PEC,30714814229,PETROLERA ACONCAGUA ENERGIA S.A.,,afip_oficial
PECD,30714814229,PETROLERA ACONCAGUA ENERGIA S.A.,,afip_oficial
PECF,30714814229,PETROLERA ACONCAGUA ENERGIA S.A.,,afip_oficial
PECJ,30714814229,PETROLERA ACONCAGUA ENERGIA S.A.,,afip_oficial
PECK,30714814229,PETROLERA ACONCAGUA ENERGIA S.A.,,afip_oficial
PECL,30714814229,PETROLERA ACONCAGUA ENERGIA S.A.,,afip_oficial
PECM,30714814229,PETROLERA ACONCAGUA ENERGIA S.A.,,afip_oficial
PES,30651084241,PEDROLGA S.A.,,afip_oficial
PF,30690967541,PATAGONIA FRUITS TRADE S.A,,afip_oficial
PG,30714436194,PRIGIONI AGRO SRL,,afip_oficial
PJS,30711424195,PALLETS JAUREGUI S.A.,,afip_oficial
PLC,30678224010,Pluspetrol S.A.,Energía - Petróleo y Gas,manual_confirmado
PM,33669088499,PRODEMAN S.A.,,afip_oficial
PN,30714813583,Pan American Energy LLC (PAE Sucursal),Energía - Petróleo y Gas,manual_confirmado
PNZ,30714813583,Pan American Energy LLC (Sucursal Argentina),Energía - Petróleo y Gas,afip_oficial
PNZC,30714813583,PAN AMERICAN ENERGY LLC (PAE SUCURSAL),,afip_oficial
PO,30693383427,PRODUSEM S.A.,,afip_oficial
PQC,30563598111,Petroquímica Comodoro Rivadavia S.A.,Industria - Petroquímica,afip_oficial
PQCQ,30563598111,PETROQUIMICA COMODORO RIVADAVIA S.A,,afip_oficial
PR,30697172773,PARAMERICA S.A.,,afip_oficial
PS,30707847367,PSA FINANCE ARGENTINA CIA FINANCIERA SA,,afip_oficial
