symbol,issuer,rating_lp,rating_bucket,sector,currency,price,ytm,macaulay_duration,modified_duration,current_yield,volume,liquidity_score,peer_count,peer_avg_ytm,peer_std_ytm,spread_vs_peers,spread_bps,percentile,rv_score,peer_group,peer_unique_issuers,peer_same_issuer_count,peer_same_issuer_ratio,signal_type,theoretical_price,upside_pct,carry_advantage_pct,is_outlier,maturity_date,n_cashflows,cashflow_confidence
YCAMO,[YCA],,Unrated,Sin mapear,USD,101.6,0.059129,0.882,0.8567,0.068504,0.0,32.96,4.0,0.045328,0.011853,0.013801,138.0,100.0,1.164,USD/Unrated/dur±1.5y,3.0,0.0,0.0,cross_credit,102.8012,1.18,1.22,False,2027-07-21,2,mae
YFCGO,YPF Energía Eléctrica S.A.,AAA(arg),AAA,Energía - Electricidad,USD,102.35,0.01269,0.5004,0.4973,0.058622,33513.5,80.03,14.0,0.045552,0.005874,-0.032862,-328.6,0.0,-5.594,USD/AAA/dur±1.5y,7.0,0.0,0.0,cross_credit,100.6774,-1.63,-1.64,False,2027-02-27,2,mae
YFCJO,YPF Energía Eléctrica S.A.,AAA(arg),AAA,Energía - Electricidad,USD,110.05,0.062197,4.2425,4.1145,0.071786,93373600.0,94.49,13.0,0.059343,0.004012,0.002854,28.5,76.9,0.711,USD/AAA/dur±1.5y,6.0,0.0,0.0,cross_credit,111.3422,1.17,1.21,False,2032-10-16,13,mae
YFCKO,YPF Energía Eléctrica S.A.,AAA(arg),AAA,Energía - Electricidad,USD,101.0,0.013315,0.2384,0.2368,0.026139,7837493.5,88.19,,,,,,,,,,,,,,,,True,2026-11-22,1,mae
YFCLO,YPF Energía Eléctrica S.A.,AAA(arg),AAA,Energía - Electricidad,USD,103.2,0.053008,2.0995,2.0453,0.065891,91534452.4,91.45,22.0,0.049052,0.006948,0.003956,39.6,72.7,0.569,USD/AAA/dur±1.5y,7.0,0.0,0.0,cross_credit,104.0349,0.81,0.83,False,2028-11-22,9,mae
YM34O,YPF S.A.,AAA(arg),AAA,Energía - Petróleo y Gas,USD,109.75,0.06553,5.1687,5.0047,0.075809,1224647869.3,99.58,8.0,0.06142,0.003449,0.00411,41.1,75.0,1.192,USD/AAA/dur±1.5y,6.0,1.0,0.125,cross_credit,112.0073,2.06,2.12,False,2034-01-17,15,mae
YM37O,YPF S.A.,AAA(arg),AAA,Energía - Petróleo y Gas,USD,102.25,0.042934,0.6806,0.6663,0.06846,150714733.3,98.77,17.0,0.045416,0.010656,-0.002482,-24.8,35.3,-0.233,USD/AAA/dur±1.5y,8.0,3.0,0.176,cross_credit,102.0809,-0.17,-0.17,False,2027-05-07,3,confirmed
YM38O,YPF S.A.,AAA(arg),AAA,Energía - Petróleo y Gas,USD,103.3,0.04607,0.8747,0.855,0.072604,123016241.5,95.12,17.0,0.045231,0.010671,0.000839,8.4,47.1,0.079,USD/AAA/dur±1.5y,8.0,3.0,0.176,cross_credit,103.3741,0.07,0.07,False,2027-07-22,4,confirmed
YM39O,YPF S.A.,AAA(arg),AAA,Energía - Petróleo y Gas,USD,111.65,0.056837,3.3577,3.265,0.07837,233266215.7,97.92,18.0,0.056808,0.005349,2.9e-05,0.3,38.9,0.005,USD/AAA/dur±1.5y,8.0,3.0,0.167,cross_credit,111.6607,0.01,0.01,False,2030-07-22,16,confirmed
YMCIO,YPF S.A.,AAA(arg),AAA,Energía - Petróleo y Gas,USD,93.48,0.039263,1.5081,1.4791,0.082585,98291361.6,98.8,21.0,0.047124,0.010038,-0.007861,-78.6,19.0,-0.783,USD/AAA/dur±1.5y,8.0,3.0,0.143,cross_credit,92.3931,-1.16,-1.19,False,2029-06-30,6,mae
YMCJO,YPF S.A.,AAA(arg),AAA,Energía - Petróleo y Gas,USD,107.45,0.060078,4.6033,4.4691,0.065147,90005854.6,98.33,9.0,0.06114,0.003442,-0.001062,-10.6,44.4,-0.309,USD/AAA/dur±1.5y,6.0,3.0,0.333,cross_credit,106.9401,-0.47,-0.49,False,2033-09-30,15,mae
YMCXO,YPF S.A.,AAA(arg),AAA,Energía - Petróleo y Gas,USD,113.25,0.063246,3.6656,3.5532,0.077351,824470906.5,99.73,13.0,0.058044,0.004273,0.005202,52.0,92.3,1.217,USD/AAA/dur±1.5y,7.0,2.0,0.154,cross_credit,115.3433,1.85,1.91,False,2031-09-11,11,mae
YMCYO,YPF S.A.,AAA(arg),AAA,Energía - Petróleo y Gas,USD,103.55,0.051689,1.9867,1.9367,0.062772,28186309.7,95.18,23.0,0.047529,0.010205,0.00416,41.6,56.5,0.408,USD/AAA/dur±1.5y,8.0,4.0,0.174,cross_credit,104.3843,0.81,0.83,False,2028-10-10,9,confirmed
