symbol,issuer,rating_lp,rating_bucket,sector,currency,price,ytm,macaulay_duration,rv_score,spread_bps,peer_count,peer_unique_issuers,peer_same_issuer_ratio,signal_type,theoretical_price,upside_pct,carry_advantage_pct,cashflow_confidence,structure_type,n_cashflows,cashflow_quality_score,signal_confidence_score,execution_score,liquidity_percentile,market_quality_score,days_stale,spread_bps_current,primary_species,tir_dispersion_bp,has_desarbitraje,signal_category,signal_label,alerts,alert_count,is_outlier,maturity_date
IRCFO,IRSA Inversiones y Representaciones S.A.,AAA(arg),AAA,Real Estate,USD,50.7,0.044536,1.543,-0.141,-13.5,23.0,8.0,0.13,cross_credit,50.5968,-0.2,-0.21,mae,amortizing,4,69.4,74.7,91.3,73.6,92.8,0.0,39.53,MEP,158.2,True,NEUTRO,,desarbitraje,1,False,2028-06-22
IRCJO,IRSA Inversiones y Representaciones S.A.,AAA(arg),AAA,Real Estate,USD,104.1,0.04242,0.6544,-0.064,-6.2,16.0,8.0,0.125,cross_credit,104.0586,-0.04,-0.04,mae,bullet,2,68.2,74.1,74.9,48.6,74.7,0.0,82.54,MEP,0.0,False,NEUTRO,,,0,False,2027-02-28
IRCNO,IRSA Inversiones y Representaciones S.A.,AAA(arg),AAA,Real Estate,USD,103.15,0.05215,1.2563,0.854,79.8,20.0,8.0,0.1,cross_credit,104.1583,0.98,1.0,mae,bullet,4,71.4,75.7,43.3,13.9,76.3,0.0,284.71999999999997,MEP,35.5,False,NEUTRO,,,0,False,2027-10-22
IRCOO,IRSA Inversiones y Representaciones S.A.,AAA(arg),AAA,Real Estate,USD,108.0,0.056164,2.9336,0.483,40.1,20.0,8.0,0.05,cross_credit,109.2356,1.14,1.18,mae,bullet,8,77.8,78.9,88.5,65.3,86.8,0.0,10.51,MEP,0.0,False,NEUTRO,,,0,False,2029-10-23
LMS7O,BLM DESARROLLOS SA,,Unrated,,USD,88.4,0.029668,1.1182,-0.44,-177.9,6.0,3.0,0.0,cross_credit,86.6673,-1.96,-1.99,mae,amortizing,10,79.0,79.5,54.5,25.0,78.2,0.0,181.36,MEP,279.9,True,NEUTRO,,desarbitraje,1,False,2028-10-12
LMS8O,BLM DESARROLLOS SA,,Unrated,,USD,78.13,-0.021095,0.4796,,,,,,,,,,mae,amortizing,3,67.8,41.4,55.1,59.7,73.0,0.0,178.26999999999998,MEP,0.0,False,NEUTRO,,,0,True,2027-03-21
MGCMO,Pampa Energía S.A.,AAA(arg),AAA,Energía - Electricidad,USD,110.5,0.061056,4.3081,0.348,17.8,13.0,6.0,0.0,cross_credit,111.3224,0.74,0.77,mae,bullet,11,82.6,81.3,76.3,84.7,85.5,0.0,11.49,MEP,68.3,False,NEUTRO,,,0,False,2031-09-10
MGCNO,Pampa Energía S.A.,AAA(arg),AAA,Energía - Electricidad,USD,103.4,0.047739,2.1367,0.131,12.5,25.0,8.0,0.04,cross_credit,103.6691,0.26,0.27,mae,bullet,5,73.0,76.5,83.3,55.6,89.7,0.0,31.69,MEP,0.0,False,NEUTRO,,,0,False,2028-10-04
MGCOO,Pampa Energía S.A.,AAA(arg),AAA,Energía - Electricidad,USD,107.9,0.066832,6.4119,1.528,163.4,35.0,8.0,0.086,cross_credit,118.8411,10.14,10.48,mae,bullet,17,85.0,82.5,63.9,83.3,85.6,0.0,165.20999999999998,MEP,48.7,False,POTENCIALMENTE_BARATO,POTENCIALMENTE BARATO,,0,False,2034-12-16
MGCQO,Pampa Energía S.A.,AAA(arg),AAA,Energía - Electricidad,USD,109.0,0.041619,1.9473,-0.508,-48.5,24.0,8.0,0.042,cross_credit,107.9906,-0.93,-0.95,confirmed,bullet,5,88.0,84.0,82.0,40.3,83.0,0.0,75.17,MEP,156.9,True,NEUTRO,,desarbitraje,1,False,2028-08-06
