ticker,moneda,tipo_liquidacion,precio_compra,precio_venta,spread_abs,spread_pct,monto_operado,years_to_maturity,liquidity_score,spread_cuartil
YFCMD,USD,2,99.81,102.6,2.79,2.7953,6901.65,0.7064,84.8,Q2
NPCDD,USD,2,100.0,102.8,2.8,2.8,48065.74,3.6523,88.65,Q2
DNC5D,USD,2,103.1,106.0,2.9,2.8128,74847.59,1.9192,89.56,Q2
PLC7D,USD,1,104.55,107.5,2.95,2.8216,5243.5,11.0719,83.39,Q2
YM34D,USD,1,106.5,109.55,3.05,2.8638,58604.29,7.3703,89.03,Q2
TTCDD,USD,2,106.0,109.05,3.05,2.8774,158922.5,4.1643,89.9,Q2
TLCWD,USD,2,101.5,104.45,2.95,2.9064,13222.03,3.7317,85.88,Q2
TLCQD,USD,1,103.85,107.0,3.15,3.0332,0.0,0.8241,55.31,Q2
DNC7O,ARS,2,166900.0,172000.0,5100.0,3.0557,27818420.0,4.1369,95.65,Q2
YMCXD,USD,1,113.5,117.0,3.5,3.0837,61734.16,5.0185,88.96,Q2
YMCXO,ARS,2,172600.0,178000.0,5400.0,3.1286,647268034.3,5.0185,98.42,Q2
YFCID,USD,2,101.7,104.9,3.2,3.1465,4140.05,0.7721,82.75,Q2
YMCID,USD,2,91.0,93.9,2.9,3.1868,60457.11,2.8255,89.34,Q2
GYC5D,USD,2,99.7,102.9,3.2,3.2096,7944.21,1.0021,84.38,Q2
TLCUD,USD,1,103.4,106.8,3.4,3.2882,299.97,2.4997,78.24,Q2
OLC7D,USD,2,99.91,103.2,3.29,3.293,6497.91,3.4716,84.61,Q2
YM37D,USD,2,99.91,103.2,3.29,3.293,272137.4,0.6708,91.22,Q2
TLCWD,USD,1,101.55,104.9,3.35,3.2989,0.0,3.7317,55.15,Q2
YM43D,USD,2,99.22,102.5,3.28,3.3058,386313.66,3.6085,91.31,Q2
MSSFD,USD,2,99.0,102.3,3.3,3.3333,39269.9,0.8816,87.83,Q2
HVS1D,USD,2,101.4,104.8,3.4,3.3531,816.0,1.8426,78.86,Q2
SBC3D,USD,2,100.6,104.0,3.4,3.3797,5415.8,2.7242,85.17,Q2
TLCOD,USD,1,103.0,106.5,3.5,3.3981,8.42,2.2341,79.17,Q2
GN48D,USD,2,99.5,102.9,3.4,3.4171,11481.15,1.5003,85.1,Q2
OTS5D,USD,2,99.91,103.4,3.49,3.4931,19653.43,0.1342,85.36,Q2
YM43D,USD,1,99.0,102.5,3.5,3.5354,2910.95,3.6085,81.74,Q2
TTC8D,USD,2,99.91,103.5,3.59,3.5932,4997.9,1.1362,83.26,Q2
CS53D,USD,2,99.91,103.5,3.59,3.5932,4636.91,3.6523,84.14,Q2
TLCTO,ARS,2,165000.0,171000.0,6000.0,3.6364,322008585.2,9.3771,97.88,Q2
BF45D,USD,2,98.3,101.9,3.6,3.6623,0.0,0.6735,54.96,Q2
MIC4D,USD,2,100.0,103.7,3.7,3.7,4245.8,0.898,82.69,Q2
PN36D,USD,2,107.7,111.8,4.1,3.8069,72443.58,5.191,89.13,Q2
GN43D,USD,2,99.5,103.3,3.8,3.8191,9832.48,0.5065,84.88,Q2
LR8BD,USD,2,101.0,104.9,3.9,3.8614,1306.29,1.9055,81.47,Q2
PN42D,USD,2,99.91,103.8,3.89,3.8935,120967.24,0.616,88.49,Q2
YM37D,USD,1,101.05,105.0,3.95,3.909,10228.39,0.6708,83.9,Q2
PQCRD,USD,2,99.5,103.4,3.9,3.9196,1030.71,2.1328,79.57,Q2
PLC3D,USD,1,103.4,107.5,4.1,3.9652,6685.13,1.6537,84.3,Q2
DNCAC,EXT,2,100.5,104.5,4.0,3.9801,7246.3,6.6475,83.56,Q2
YFCLD,USD,2,99.91,103.9,3.99,3.9936,16304.1,2.2149,86.18,Q2
MGCTD,USD,2,99.91,103.9,3.99,3.9936,17409.0,2.5736,85.11,Q2
PFC2D,USD,2,99.91,103.9,3.99,3.9936,3951.07,0.8569,82.21,Q2
MCC3D,USD,1,100.0,104.0,4.0,4.0,3205.02,3.6824,82.68,Q2
