bucket,cantidad,con_trade,con_bid_ask,monto_operado_total,monto_operado_avg,spread_pct_avg,spread_pct_median,liquidity_score_avg,years_to_maturity_avg
0-1Y,811,132,245,883701976.59,1089644.854,3.1399,1.6776,43.4321,0.4989
1-3Y,847,249,410,4815663890.99,5685553.5903,6.4552,1.4247,50.9396,1.9878
3-5Y,255,102,138,4310871340.1,16905377.8043,0.9536,0.4712,57.5407,4.0279
5-10Y,273,109,153,4984001707.16,18256416.5097,4.179,0.4192,57.8301,7.2973
10Y+,39,18,24,2943698747.4,75479455.0615,0.4082,0.3892,62.5208,11.0627
