entidad,fecha,pais,area,sector,tipo,rating_cp,rating_lp,perspectiva,estado
Metalcred XVII,2026-03-11,Argentina,Finanzas Estructuradas,Facturas,VDFA,,BBB+sf(arg),RW Negativo,Baja
Metalcred XVII,2026-03-11,Argentina,Finanzas Estructuradas,Facturas,VDFB,,BB-sf(arg),RW Negativo,Baja
Metalcred XVII,2026-03-11,Argentina,Finanzas Estructuradas,Facturas,CP,,CCsf(arg),N.C,Confirma
Moni Mobile XV,2026-03-10,Argentina,Finanzas Estructuradas,Prestamos Personales,VDFA,A1+sf(arg),,N.C,Confirma
Moni Mobile XV,2026-03-10,Argentina,Finanzas Estructuradas,Prestamos Personales,VDFB,,BBBsf(arg),Perspectiva Estable,Confirma
Waynimóvil X,2025-11-27,Argentina,Finanzas Estructuradas,Prestamos Personales,VDFA,A1sf(arg),,N.C,Confirma
GDM PyMEs I,2026-05-14,Argentina,Finanzas Estructuradas,Cheques De Pago Diferido,VDF,A1+sf(arg),,N.C,Confirma
Mercado Crédito Consumo XIX,2024-12-17,Argentina,Finanzas Estructuradas,Prestamos Personales,CP,,CCCsf(arg),N.C,Confirma
Mercado Crédito XXXVII,2026-04-06,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF,,AAAsf(arg),Perspectiva Estable,Confirma
Mercado Crédito XXXVII,2026-04-06,Argentina,Finanzas Estructuradas,Prestamos Personales,CP,,CCCsf(arg),N.C,Confirma
360 Energy Solar S.A. (ex Energias Sustentables S.A.),2026-01-29,Argentina,Finanzas Sostenibles,Empresas,Bono Verde - Obligaciones Negociable ...,,BV1(arg),Perspectiva Estable,Confirma
360 Energy Solar S.A. (ex Energias Sustentables S.A.),2026-01-29,Argentina,Finanzas Sostenibles,Empresas,Bono Verde - Obligaciones Negociable ...,,BV1(arg),Perspectiva Estable,Confirma
360 Energy Solar S.A. (ex Energias Sustentables S.A.),2026-01-29,Argentina,Finanzas Sostenibles,Empresas,Bono Verde - Obligaciones Negociable ...,,BV1(arg),Perspectiva Estable,Confirma
360 Energy Solar S.A. (ex Energias Sustentables S.A.),2026-05-08,Argentina,Finanzas Corporativas,Empresas,Emisor,,A(arg),Perspectiva Estable,Confirma
360 Energy Solar S.A. (ex Energias Sustentables S.A.),2026-05-08,Argentina,Finanzas Corporativas,Empresas,Obligaciones Negociables Simples Cla ...,,A(arg),Perspectiva Estable,Confirma
360 Energy Solar S.A. (ex Energias Sustentables S.A.),2026-05-08,Argentina,Finanzas Corporativas,Empresas,Obligaciones Negociables Simples Cla ...,,A(arg),Perspectiva Estable,Confirma
360 Energy Solar S.A. (ex Energias Sustentables S.A.),2026-05-08,Argentina,Finanzas Corporativas,Empresas,Obligaciones Negociables Simples Cla ...,,A(arg),Perspectiva Estable,Confirma
Accicom Préstamos Personales XII,2023-09-06,Argentina,Finanzas Estructuradas,Prestamos Personales,VDFA,,AAAsf(arg),Perspectiva Estable,Confirma
Accicom Préstamos Personales XIII,2024-02-06,Argentina,Finanzas Estructuradas,Prestamos Personales,VDFA,,AAAsf(arg),Perspectiva Estable,Confirma
Administración Nacional de Usinas y Transmisiones Eléctricas (UTE),2026-03-19,Uruguay,Finanzas Corporativas,Energia,Emisor,,AAA(uy),Perspectiva Estable,Confirma
Administración Nacional de Usinas y Transmisiones Eléctricas (UTE),2026-03-19,Uruguay,Finanzas Corporativas,Energia,Obligaciones Negociables por un valo ...,,AAA(uy),Perspectiva Estable,Confirma
Administración Nacional de Usinas y Transmisiones Eléctricas (UTE),2026-03-19,Uruguay,Finanzas Corporativas,Energia,Obligaciones Negociables por hasta U ...,,AAA(uy),Perspectiva Estable,Confirma
Administración Nacional de Usinas y Transmisiones Eléctricas (UTE),2026-03-19,Uruguay,Finanzas Corporativas,Energia,Obligaciones Negociables por hasta U ...,,AAA(uy),Perspectiva Estable,Confirma
Administración Nacional de Usinas y Transmisiones Eléctricas (UTE),2026-03-19,Uruguay,Finanzas Corporativas,Energia,Obligaciones Negociables por hasta U ...,,AAA(uy),Perspectiva Estable,Confirma
Administración Nacional de Usinas y Transmisiones Eléctricas (UTE),2026-03-19,Uruguay,Finanzas Corporativas,Energia,ON Serie A en Unidades Indexadas Por ...,,AAA(uy),Perspectiva Estable,Confirma
Administración Nacional de Usinas y Transmisiones Eléctricas (UTE),2026-03-19,Uruguay,Finanzas Corporativas,Energia,ON Serie B en Unidades Previsionales ...,,AAA(uy),Perspectiva Estable,Confirma
Administración Nacional de Usinas y Transmisiones Eléctricas (UTE),2026-03-19,Uruguay,Finanzas Corporativas,Energia,ON por hasta USD 27 millones Hasta e ...,,AAA(uy),Perspectiva Estable,Confirma
Administración Nacional de Usinas y Transmisiones Eléctricas (UTE),2026-03-19,Uruguay,Finanzas Corporativas,Energia,ON Serie A en Unidades Indexadas Por ...,,AAA(uy),Perspectiva Estable,Asigna
Administración Nacional de Usinas y Transmisiones Eléctricas (UTE),2026-03-19,Uruguay,Finanzas Corporativas,Energia,ON Serie B en Unidades Previsionales ...,,AAA(uy),Perspectiva Estable,Asigna
Aeropuertos Argentina 2000,2026-05-08,Argentina,Finanzas Corporativas,Construccion,Emisor,,AA+(arg),Perspectiva Estable,Confirma
Aeropuertos Argentina 2000,2026-05-08,Argentina,Finanzas Corporativas,Construccion,ON Clase 5 Por USD 120 millones ampli ...,,AA+(arg),Perspectiva Estable,Confirma
AES Argentina Generación S.A.,2026-05-07,Argentina,Finanzas Corporativas,Energia,Emisor,,AA-(arg),Perspectiva Estable,Confirma
AFAP SURA S.A.,2025-12-17,Uruguay,Administradora De Activos,Administradora De Activos,Administrador de Activos,,M1(uy),Perspectiva Estable,Confirma
AGINCO I,2023-07-10,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF A,,AAsf(arg),Perspectiva Estable,Confirma
AGINCO I,2023-07-10,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF B,,A+sf(arg),Perspectiva Estable,Confirma
AGINCO II,2024-03-14,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF A,,AAsf(arg),Perspectiva Estable,Confirma
AGINCO II,2024-03-14,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF B,,BBB+sf(arg),Perspectiva Estable,Confirma
Agrality S.A.,2025-12-26,Argentina,Finanzas Corporativas,Agronegocio,Emisor,,BBB+(arg),RW Negativo,Confirma
Agroaval SGR,2026-05-07,Argentina,Sociedades De Garantía Recíproca (Sgr),Sociedades De Garantía Recíproca (Sgr),Calificación de largo plazo,A1+(arg),AA(arg),Perspectiva Estable,Confirma
Agrofina S.A.,2026-05-04,Argentina,Finanzas Corporativas,Agronegocio,Emisor,,D(arg),N.C,Confirma
Agrofina S.A.,2026-05-04,Argentina,Finanzas Corporativas,Agronegocio,"ON Clase XI por USD 15 millones, ampli ...",,D(arg),N.C,Confirma
Agrofina S.A.,2026-05-04,Argentina,Finanzas Corporativas,Agronegocio,"ON Clase XII por USD 15 millones, ampl ...",,D(arg),N.C,Confirma
Agrofina XXIV,2022-07-28,Argentina,Finanzas Estructuradas,Facturas,VDF B,A2sf(arg),,N.C,Confirma
Agrofina XXIX,2025-02-12,Argentina,Finanzas Estructuradas,Facturas,VDFA,A1sf(arg),,RW Negativo,Confirma
Agrofina XXIX,2025-07-07,Argentina,Finanzas Estructuradas,Facturas,VDFB,,BBB-sf(arg),Perspectiva Estable,Confirma
Agrofina XXVIII,2022-12-14,Argentina,Finanzas Estructuradas,Facturas,VDFB,A2sf(arg),,N.C,Confirma
Ala Este S.A.S.,2026-04-30,Uruguay,Finanzas Corporativas,Empresas,Emisor,,BBB+(uy),Perspectiva Estable,Confirma
Ala Este S.A.S.,2026-04-30,Uruguay,Finanzas Corporativas,Empresas,Serie 1 Por hasta el equivalente a U ...,,BBB+(uy),Perspectiva Estable,Confirma
Alamo S.A.,2026-04-14,Paraguay,Finanzas Corporativas,Empresas,Emisor,,BBB-py,RW Negativo,Baja
Alamo S.A.,2026-04-14,Paraguay,Finanzas Corporativas,Empresas,Prospecto del Programa de Emisión Gl ...,,pyBBB-,RW Negativo,Baja
Alamo S.A.,2026-04-14,Paraguay,Finanzas Corporativas,Empresas,Prospecto del Programa de Emisión Gl ...,,pyBBB-,RW Negativo,Baja
Allaria Fondos Administrados S.G.F.C.I.S.A.,2026-01-21,Argentina,Fondos,Fondos Abiertos,Allaria Renta Mixta II,,AAf(arg),N.C,Confirma
Allaria Fondos Administrados S.G.F.C.I.S.A.,2026-01-21,Argentina,Fondos,Fondos Abiertos,Allaria Acciones,,Ac(arg),N.C,Confirma
Allaria Fondos Administrados S.G.F.C.I.S.A.,2026-01-21,Argentina,Fondos,Fondos Abiertos,Allaria Cobertura Dinámica,,AA-f(arg),N.C,Confirma
Allaria Fondos Administrados S.G.F.C.I.S.A.,2026-01-21,Argentina,Fondos,Fondos Abiertos,Allaria Diversificado,,AA-c(arg),N.C,Confirma
Allaria Fondos Administrados S.G.F.C.I.S.A.,2026-01-21,Argentina,Fondos,Fondos Abiertos,Allaria Dólar Dinámico,,AA+f(arg),N.C,Confirma
Allaria Fondos Administrados S.G.F.C.I.S.A.,2026-01-21,Argentina,Fondos,Fondos Abiertos,Allaria Dinámico II,,AAf(arg),N.C,Confirma
Allaria Fondos Administrados S.G.F.C.I.S.A.,2026-01-21,Argentina,Fondos,Fondos Abiertos,Allaria Dólar Retorno Total,,AA-c(arg),N.C,Confirma
Allaria Fondos Administrados S.G.F.C.I.S.A.,2026-01-21,Argentina,Fondos,Fondos Abiertos,Allaria Equity Selection,,Ac(arg),N.C,Confirma
Allaria Fondos Administrados S.G.F.C.I.S.A.,2026-01-21,Argentina,Fondos,Fondos Abiertos,Allaria Dólar Ahorro Plus,,AAf(arg),N.C,Confirma
Allaria Fondos Administrados S.G.F.C.I.S.A.,2026-02-11,Argentina,Fondos,Fondos Abiertos,Allaria Desarrollo,,A+f(arg),N.C,Confirma
Allaria Fondos Administrados S.G.F.C.I.S.A.,2026-02-19,Argentina,Fondos,Fondos Abiertos,Allaria Dólar Latam,,AAAf(arg),N.C,Confirma
Allaria Fondos Administrados S.G.F.C.I.S.A.,2026-03-02,Argentina,Fondos,Fondos Abiertos,Allaria Sustentable ASG,,A+f(arg),N.C,Confirma
Allaria Fondos Administrados S.G.F.C.I.S.A.,2026-03-11,Argentina,Fondos,Fondos Abiertos,Allaria Ahorro,,AA+f(arg),N.C,Confirma
Allaria Fondos Administrados S.G.F.C.I.S.A.,2026-03-11,Argentina,Fondos,Fondos Abiertos,Allaria Dólar Ahorro,,AA+f(arg),N.C,Confirma
Allaria Fondos Administrados S.G.F.C.I.S.A.,2026-04-22,Argentina,Fondos,Fondos Abiertos,Allaria Dólar Renta Internacional ...,,AAAf(arg),N.C,Asigna
Allaria Fondos Administrados S.G.F.C.I.S.A.,2026-05-14,Argentina,Fondos,Fondos Abiertos,Allaria Renta Fija,,AAAf(arg),N.C,Sube
Allaria Fondos Administrados S.G.F.C.I.S.A.,2026-05-14,Argentina,Fondos,Fondos Abiertos,Allaria Dinámico III,,AA+f(arg),N.C,Confirma
Allaria Fondos Administrados S.G.F.C.I.S.A.,2026-05-14,Argentina,Fondos,Fondos Abiertos,Allaria Dólar Global,,AAAf(arg),N.C,Sube
Allaria Fondos Administrados S.G.F.C.I.S.A.,2026-05-20,Argentina,Fondos,Fondos Abiertos,Allaria Unicred Abierto Pymes,,BBB+f(arg),N.C,Confirma
Allaria Fondos Administrados S.G.F.C.I.S.A.,2026-05-20,Argentina,Fondos,Fondos Abiertos,Alamérica Abierto Pymes,,A-f(arg),N.C,Sube
Allaria Fondos Administrados S.G.F.C.I.S.A.,2026-05-20,Argentina,Fondos,Fondos Abiertos,Allaria Abierto Pymes,,Af(arg),N.C,Sube
Allaria Fondos Administrados S.G.F.C.I.S.A.,2026-05-27,Argentina,Fondos,Fondos Abiertos,Intervalores Ahorro,,A+f(arg),N.C,Confirma
Allaria Fondos Administrados S.G.F.C.I.S.A.,2026-05-27,Argentina,Fondos,Fondos Abiertos,Allaria Ahorro Plus,,AAf(arg),N.C,Confirma
Aluar Aluminio Argentino S.A.I.C.,2026-05-07,Argentina,Finanzas Corporativas,Siderúrgica,Emisor,,AAA(arg),Perspectiva Estable,Confirma
Aluar Aluminio Argentino S.A.I.C.,2026-05-07,Argentina,Finanzas Corporativas,Siderúrgica,Obligaciones Negociables Serie 6 Por h ...,,AAA(arg),Perspectiva Estable,Confirma
Aluar Aluminio Argentino S.A.I.C.,2026-05-07,Argentina,Finanzas Corporativas,Siderúrgica,Obligaciones Negociables Serie 7 Por h ...,,AAA(arg),Perspectiva Estable,Confirma
Aluar Aluminio Argentino S.A.I.C.,2026-05-07,Argentina,Finanzas Corporativas,Siderúrgica,Obligaciones Negociables Serie 8 Por 5 ...,,AAA(arg),Perspectiva Estable,Confirma
Aluar Aluminio Argentino S.A.I.C.,2026-05-07,Argentina,Finanzas Corporativas,Siderúrgica,ON Garantizadas Serie 9 por hasta USD ...,,AAA(arg),Perspectiva Estable,Confirma
Aluminios del Uruguay S.A.,2026-04-28,Uruguay,Finanzas Corporativas,Metales Y Mineria,Emisor,,A-(uy),Perspectiva Estable,Confirma
ALZ Agrocap Serie I,2024-08-14,Argentina,Finanzas Estructuradas,Prestamos Personales,VDFA,,Asf(arg),Perspectiva Estable,Confirma
ALZ Agrocap Serie II,2026-01-06,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF,A1+sf(arg),,N.C,Confirma
ALZ Agrocap Serie II,2026-01-06,Argentina,Finanzas Estructuradas,Prestamos Personales,CP,,CCCsf(arg),N.C,Confirma
ALZ Agrocap Serie III - Facturas,2026-04-07,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF,A1+sf(arg),,N.C,Confirma
ALZ Agrocap Serie III - Facturas,2026-04-07,Argentina,Finanzas Estructuradas,Prestamos Personales,CP,,CCCsf(arg),N.C,Confirma
Angel Estrada y Cia.S.A.,2026-05-26,Argentina,Finanzas Corporativas,Consumo Masivo,Emisor,A1(arg),A(arg),Perspectiva Estable,Confirma
Angel Estrada y Cia.S.A.,2026-05-26,Argentina,Finanzas Corporativas,Consumo Masivo,ON Clase 12 Por hasta $ 500 millones ( ...,,A(arg),Perspectiva Estable,Confirma
Angel Estrada y Cia.S.A.,2026-05-26,Argentina,Finanzas Corporativas,Consumo Masivo,ON Clase 18 por hasta $ 3.000 millones ...,A1(arg),,N.C,Asigna
Arcor S.A.I.C.,2026-05-05,Argentina,Finanzas Corporativas,Alimentos Y Bebidas,Obligaciones Negociables Clase 18 Por ...,,AAA(arg),Perspectiva Estable,Confirma
Arcor S.A.I.C.,2026-05-15,Argentina,Finanzas Corporativas,Alimentos Y Bebidas,Emisor,A1+(arg),AAA(arg),Perspectiva Estable,Confirma
Arcor S.A.I.C.,2026-05-15,Argentina,Finanzas Corporativas,Alimentos Y Bebidas,Obligaciones Negociables Clase 26 Por ...,,AAA(arg),Perspectiva Estable,Confirma
Arcor S.A.I.C.,2026-05-15,Argentina,Finanzas Corporativas,Alimentos Y Bebidas,Obligaciones Negociables Clase 3 Por h ...,A1+(arg),,N.C,Confirma
Arcor S.A.I.C.,2026-05-15,Argentina,Finanzas Corporativas,Alimentos Y Bebidas,Obligaciones Negociables Clase 5 Por h ...,,AAA(arg),Perspectiva Estable,Asigna
Arcor S.A.I.C.,2026-05-15,Argentina,Finanzas Corporativas,Alimentos Y Bebidas,Obligaciones Negociables Clase 6 Por h ...,,AAA(arg),Perspectiva Estable,Asigna
Argenfunds S.A.,2026-05-14,Argentina,Fondos,Fondos Abiertos,Argenfunds Renta Balanceada,,AAf(arg),N.C,Sube
Argenfunds S.A.,2026-05-27,Argentina,Fondos,Fondos Abiertos,Argenfunds Ahorro Pesos,,AAf(arg),N.C,Confirma
Argenfunds S.A.,2026-05-29,Argentina,Fondos,Fondos Abiertos,Argenfunds Renta Fija,,BBBf(arg),N.C,Confirma
Argenfunds S.A.,2026-05-29,Argentina,Fondos,Fondos Abiertos,Argenfunds Renta Capital,,AAAf(arg),N.C,Confirma
Argenfunds S.A.,2026-05-29,Argentina,Fondos,Fondos Abiertos,Argenfunds Renta Flexible,,A+f(arg),N.C,Confirma
Argenfunds S.A.,2026-05-29,Argentina,Fondos,Fondos Abiertos,Argenfunds Renta Global,,BBB-f(arg),N.C,Confirma
Argenfunds S.A.,2026-05-29,Argentina,Fondos,Fondos Abiertos,Argenfunds Liquidez,,AA+f(arg),N.C,Confirma
Argenfunds S.A.,2026-05-29,Argentina,Fondos,Fondos Abiertos,Argenfunds Renta Variable,,A-c(arg),N.C,Confirma
Aseguradora Yacyreta S.A. de Seguros,2025-10-17,Paraguay,Seguros,Seguros Generales,Fortaleza Financiera de Largo Plazo< ...,,pyAA,Perspectiva Estable,Confirma
Assurant Arg.Cía.de Seguros SA,2026-02-25,Argentina,Seguros,Seguros Generales,Fortaleza Financiera de Largo Plazo,,AA(arg),Perspectiva Estable,Confirma
Atlas Administradora de Fondos Patrimoniales de Inversión S.A.,2025-10-30,Paraguay,Fondos,Fondos Abiertos,Fondo Mutuo Día Guaraníes,,(py)AAf,Tendencia Estable,Confirma
Atlas Administradora de Fondos Patrimoniales de Inversión S.A.,2025-10-30,Paraguay,Fondos,Fondos Abiertos,Fondo Mutuo Día Dólares Americanos,,(py)AAf+,Tendencia Estable,Sube
Atlas S.A. de Seguros,2026-04-01,Paraguay,Seguros,Seguros Generales,Fortaleza Financiera de Largo Plazo< ...,,pyAA,Tendencia Estable,Confirma
Aval Federal SGR,2026-05-26,Argentina,Sociedades De Garantía Recíproca (Sgr),Sociedades De Garantía Recíproca (Sgr),Calificación de corto plazo,A2(arg),A(arg),Perspectiva Estable,Confirma
Avales del Centro SGR,2026-05-06,Argentina,Sociedades De Garantía Recíproca (Sgr),Sociedades De Garantía Recíproca (Sgr),Calificación de largo plazo,A2(arg),A-(arg),Perspectiva Negativa,Confirma
Avalon A.F.P.I.S.A.,2025-10-24,Paraguay,Fondos,Fondos Abiertos,Fondo Mutuo Avalon Renta Fija Guaraní ...,,(py)AAf+,Tendencia Estable,Confirma
Avalon A.F.P.I.S.A.,2025-10-24,Paraguay,Fondos,Fondos Abiertos,Fondo Mutuo Avalon Renta Fija Dólares ...,,(py)AAf+,Tendencia Estable,Confirma
Axis S.G.F.C.I.S.A.,2026-01-29,Argentina,Fondos,Fondos Abiertos,Axis Estrategia 10,,AA-f(arg),N.C,Confirma
Axis S.G.F.C.I.S.A.,2026-05-20,Argentina,Fondos,Fondos Abiertos,Axis Rosental FCI Abierto Pymes,,A-f(arg),N.C,Sube
Axis S.G.F.C.I.S.A.,2026-05-27,Argentina,Fondos,Fondos Abiertos,Axis Estrategia 20,,A+f(arg),N.C,Confirma
BACS Administradora de Activos S.A.S.G.F.C.I.,2026-01-20,Argentina,Fondos,Fondos Abiertos,Toronto Trust,,Af(arg),N.C,Confirma
BACS Administradora de Activos S.A.S.G.F.C.I.,2026-01-20,Argentina,Fondos,Fondos Abiertos,Toronto Trust Renta Dolar,,AAf(arg),N.C,Confirma
BACS Administradora de Activos S.A.S.G.F.C.I.,2026-02-11,Argentina,Fondos,Fondos Abiertos,Toronto Trust Infraestructura,,A+f(arg),N.C,Sube
BACS Administradora de Activos S.A.S.G.F.C.I.,2026-02-19,Argentina,Fondos,Fondos Abiertos,Toronto Trust Liquidez Dólar,,AAAf(arg),N.C,Confirma
BACS Administradora de Activos S.A.S.G.F.C.I.,2026-03-11,Argentina,Fondos,Fondos Abiertos,Toronto Trust Ahorro,,AA+f(arg),N.C,Sube
BACS Administradora de Activos S.A.S.G.F.C.I.,2026-03-11,Argentina,Fondos,Fondos Abiertos,Toronto Trust Money Market Dólar,,AA+f(arg),N.C,Sube
BACS Administradora de Activos S.A.S.G.F.C.I.,2026-05-14,Argentina,Fondos,Fondos Abiertos,Toronto Trust Retorno Total,,AAf(arg),N.C,Sube
BACS Administradora de Activos S.A.S.G.F.C.I.,2026-05-20,Argentina,Fondos,Fondos Abiertos,Toronto Trust Abierto Pymes,,Af(arg),N.C,Confirma
BACS Administradora de Activos S.A.S.G.F.C.I.,2026-05-27,Argentina,Fondos,Fondos Abiertos,Toronto Trust Balanceado,,AA-f(arg),N.C,Asigna
BACS Administradora de Activos S.A.S.G.F.C.I.,2026-05-27,Argentina,Fondos,Fondos Abiertos,Toronto Trust Renta Fija,,A+f(arg),N.C,Confirma
BACS Banco de Crédito y Securitización - Fiduciario Financiero,2026-05-06,Argentina,Entidades Financieras,Fiduciario,Fiduciario,,1FD(arg),Perspectiva Estable,Confirma
BACS Banco de Crédito y Securitización S.A.,2026-05-06,Argentina,Entidades Financieras,Bancos,Endeudamiento de Largo Plazo,A1+(arg),AA-(arg),Perspectiva Estable,Confirma
BACS Banco de Crédito y Securitización S.A.,2026-05-06,Argentina,Entidades Financieras,Bancos,Obligaciones Negociables Clase XIX Por ...,A1+(arg),,N.C,Confirma
Balanz Capital Valores S.A.U.,2026-05-06,Argentina,Entidades Financieras,Entidades Financieras,Endeudamiento de Largo Plazo,A2(arg),A(arg),Perspectiva Estable,Confirma
Balanz Capital Valores S.A.U.,2026-05-06,Argentina,Entidades Financieras,Entidades Financieras,Obligación Negociable Serie I Por ha ...,,A(arg),Perspectiva Estable,Confirma
Balanz Capital Valores S.A.U.,2026-05-06,Argentina,Entidades Financieras,Entidades Financieras,Obligación Negociable Serie I Adicio ...,,A(arg),Perspectiva Estable,Confirma
BALANZ Sociedad Gerente de F.C.I. S.A.U.,2026-01-14,Argentina,Fondos,Fondos Abiertos,Balanz Retorno Total,,AA-c(arg),N.C,Confirma
BALANZ Sociedad Gerente de F.C.I. S.A.U.,2026-01-14,Argentina,Fondos,Fondos Abiertos,Balanz Renta Fija,,AA-f(arg),N.C,Confirma
BALANZ Sociedad Gerente de F.C.I. S.A.U.,2026-01-14,Argentina,Fondos,Fondos Abiertos,Balanz Capital Renta Fija en Dólares< ...,,AAf(arg),N.C,Confirma
BALANZ Sociedad Gerente de F.C.I. S.A.U.,2026-01-14,Argentina,Fondos,Fondos Abiertos,Balanz Ahorro en Dólares,,AAf(arg),N.C,Confirma
BALANZ Sociedad Gerente de F.C.I. S.A.U.,2026-01-14,Argentina,Fondos,Fondos Abiertos,Balanz Performance III,,AA-f(arg),N.C,Confirma
BALANZ Sociedad Gerente de F.C.I. S.A.U.,2026-01-14,Argentina,Fondos,Fondos Abiertos,Balanz Capital Estrategia I USD,,AAf(arg),N.C,Confirma
BALANZ Sociedad Gerente de F.C.I. S.A.U.,2026-01-21,Argentina,Fondos,Fondos Abiertos,Balanz Renta Fija Opportunity,,AA-f(arg),N.C,Confirma
BALANZ Sociedad Gerente de F.C.I. S.A.U.,2026-01-21,Argentina,Fondos,Fondos Abiertos,Balanz Excalibur Regisseur,,Af(arg),N.C,Confirma
BALANZ Sociedad Gerente de F.C.I. S.A.U.,2026-01-21,Argentina,Fondos,Fondos Abiertos,Balanz Renta Fija Estratégica,,A+f(arg),N.C,Confirma
BALANZ Sociedad Gerente de F.C.I. S.A.U.,2026-02-11,Argentina,Fondos,Fondos Abiertos,Balanz FCI Abierto para el Financiami ...,,Af(arg),N.C,Confirma
BALANZ Sociedad Gerente de F.C.I. S.A.U.,2026-02-19,Argentina,Fondos,Fondos Abiertos,Balanz Capital Sudamericano,,AAAf(arg),N.C,Confirma
BALANZ Sociedad Gerente de F.C.I. S.A.U.,2026-02-19,Argentina,Fondos,Fondos Abiertos,Balanz Capital Estrategia III USD,,AAAf(arg),N.C,Sube
BALANZ Sociedad Gerente de F.C.I. S.A.U.,2026-03-11,Argentina,Fondos,Fondos Abiertos,Balanz Capital Money Market,,AA+f(arg),N.C,Confirma
BALANZ Sociedad Gerente de F.C.I. S.A.U.,2026-03-11,Argentina,Fondos,Fondos Abiertos,Balanz Money Markey Usd,,AA+f(arg),N.C,Confirma
BALANZ Sociedad Gerente de F.C.I. S.A.U.,2026-05-14,Argentina,Fondos,Fondos Abiertos,Balanz Institucional,,AA+f(arg),N.C,Sube
BALANZ Sociedad Gerente de F.C.I. S.A.U.,2026-05-14,Argentina,Fondos,Fondos Abiertos,Balanz Lecaps,,AAAf(arg),N.C,Sube
BALANZ Sociedad Gerente de F.C.I. S.A.U.,2026-05-20,Argentina,Fondos,Fondos Abiertos,Balanz Capital Pymes FCI Abierto Pyme ...,,A+f(arg),N.C,Confirma
BALANZ Sociedad Gerente de F.C.I. S.A.U.,2026-05-27,Argentina,Fondos,Fondos Abiertos,Balanz Capital Ahorro,,AA+f(arg),N.C,Sube
BALANZ Sociedad Gerente de F.C.I. S.A.U.,2026-05-29,Argentina,Fondos,Fondos Abiertos,MercadoLibre Fondo Común de Inversión ...,,AAAfcf(arg),Perspectiva Estable,Confirma
Banco Atlas S.A.,2026-03-27,Paraguay,Entidades Financieras,Bancos,Emisor,,AApy,Tendencia Estable,Confirma
Banco Basa S.A.,2026-04-10,Paraguay,Entidades Financieras,Bancos,Emisor,,AA-py,Tendencia Sensible,Confirma
Banco BBVA Argentina S.A.,2026-04-15,Argentina,Entidades Financieras,Bancos,Endeudamiento de Largo Plazo,A1+(arg),AAA(arg),Perspectiva Estable,Confirma
Banco BBVA Argentina S.A.,2026-04-15,Argentina,Entidades Financieras,Bancos,Acciones Ordinarias Clase A,,1,N.C,Confirma
Banco BBVA Argentina S.A.,2026-04-15,Argentina,Entidades Financieras,Bancos,Programa Global de Emisión de Obligac ...,,AA+(arg),Perspectiva Estable,Confirma
Banco BBVA Argentina S.A.,2026-04-15,Argentina,Entidades Financieras,Bancos,Programa Global de Emisión de Obligac ...,,AAA(arg),Perspectiva Estable,Confirma
Banco BBVA Argentina S.A.,2026-04-15,Argentina,Entidades Financieras,Bancos,Obligaciones Negociables Clase 35 por ...,A1+(arg),,N.C,Confirma
Banco BBVA Argentina S.A.,2026-04-15,Argentina,Entidades Financieras,Bancos,Obligaciones Negociables Clase 36 por ...,A1+(arg),,N.C,Confirma
Banco BBVA Argentina S.A.,2026-04-15,Argentina,Entidades Financieras,Bancos,Obligaciones Negociables Clase 37 por ...,A1+(arg),,N.C,Confirma
Banco BBVA Argentina S.A.,2026-04-15,Argentina,Entidades Financieras,Bancos,Obligaciones Negociables Adicionales ...,A1+(arg),,N.C,Confirma
Banco BBVA Argentina S.A.,2026-04-15,Argentina,Entidades Financieras,Bancos,Obligaciones Negociables Clase 38 de ...,A1+(arg),,N.C,Confirma
Banco BBVA Argentina S.A.,2026-04-15,Argentina,Entidades Financieras,Bancos,Obligaciones Negociables Clase 39 por ...,A1+(arg),,N.C,Confirma
Banco BBVA Argentina S.A.,2026-04-15,Argentina,Entidades Financieras,Bancos,Obligacones Negociables Clase 40 por ...,,AAA(arg),Perspectiva Estable,Confirma
Banco BBVA Argentina S.A.,2026-04-15,Argentina,Entidades Financieras,Bancos,Obligacones Negociables Clase 41 por ...,A1+(arg),,N.C,Confirma
Banco BBVA Argentina S.A.,2026-04-30,Argentina,Entidades Financieras,Bancos,Obligacones Negociables Clase 44 de h ...,,AAA(arg),Perspectiva Estable,Asigna
Banco BBVA Argentina S.A.,2026-04-30,Argentina,Entidades Financieras,Bancos,Obligacones Negociables Clase 45 de h ...,A1+(arg),,N.C,Asigna
Banco BBVA Argentina S.A.,2026-05-14,Argentina,Entidades Financieras,Bancos,Obligaciones Negociables Clase 46,A1+(arg),,N.C,Asigna
Banco BICA S.A.,2026-05-06,Argentina,Entidades Financieras,Bancos,Endeudamiento de Largo Plazo,A2(arg),BBB(arg),Perspectiva Positiva,Confirma
Banco CMF S.A.,2026-04-22,Argentina,Entidades Financieras,Bancos,Endeudamiento de Largo Plazo,A1(arg),A+(arg),Perspectiva Estable,Confirma
